category,severity_tier,support_pos,precision,recall,f1,roc_auc,pr_auc
identity_hate,Critical,294,0.30930930930930933,0.7006802721088435,0.42916666666666664,0.9658975446223522,0.46603106907796316
threat,Critical,74,0.23076923076923078,0.6081081081081081,0.3345724907063197,0.9849647785406712,0.3599027015461738
severe_toxic,High,321,0.30295566502463056,0.7663551401869159,0.43424536628420124,0.9804500716548373,0.4195942304785678
insult,Medium,1614,0.5876424189307625,0.8308550185873605,0.6883983572895277,0.9737217542274216,0.7535242762020703
obscene,Medium,1715,0.7187196896217265,0.8641399416909621,0.7847498014297061,0.9822657888131601,0.8763267383133009
toxic,Medium,3056,0.664417337139891,0.837696335078534,0.7410623823997684,0.9683997628658132,0.8562056043528058
